ID_LOCAL;DIRECCIÓN;LOCAL;REGIÓN;RPM;EMPRESA DISTRIBUIDORA;ESTADO;COMUNA;CONVENIO;FORMATO
110;POLICARPO TORO S/N;TOCOPILLA II;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Tocopilla;SIN CONVENIO;UNI
111;Aconcagua 2588;CALAMA II;II - Antofagasta;2966;AGUAS DE ANTOFAGASTA S A;Abierto;Calama;SIN CONVENIO;UNI
321;Avenida Vitacura 4607;VITACURA;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Vitacura;SIN CONVENIO;UNI
323;Av. Serafín Zamora 127;VICUÑA MACKENNA;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;La Florida;SIN CONVENIO;UNI
324;Miguel Ramirez 1420;MACHALI;VI - O'Higgins;0;ESSBIO S.A.;Abierto;Rancagua;SIN CONVENIO;UNI
325;Av. Irarrázaval 4354;IRARRAZAVAL;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Ñuñoa;SIN CONVENIO;UNI
326;Apoquindo 4335;ESCUELA MILITAR;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Las Condes;SIN CONVENIO;UNI
327;Manquehue 1700;MANQUEHUE;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Las Condes;SIN CONVENIO;UNI
328;Avenida Jose Miguel Carrera 5485;GRAN AVENIDA I;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;San Miguel;SIN CONVENIO;UNI
330;Apoquindo 2770;PROVIDENCIA;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Las Condes;SIN CONVENIO;UNI
331;Av. Portugal 56;DIEGO PORTALES;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Santiago;SIN CONVENIO;UNI
332;1 Norte 869;1 NORTE;V - Valparaiso;0;ESVAL S.A.;Abierto;Viña Del Mar;SIN CONVENIO;UNI
333;Gral. Jose Artigas 3250;LOS LEONES;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Ñuñoa;SIN CONVENIO;UNI
335;Santa Maria 6940;SANTA MARIA;RM - Santiago;0;AGUAS MANQUEHUE SA;Abierto;Vitacura;SIN CONVENIO;UNI
336;CHACABUCO 70;CONCEPCION I;VIII - Biobío;0;ESSBIO S.A.;Abierto;Concepción;SIN CONVENIO;UNI
340;Principe De Gales 7271;PRINCIPE DE GALES;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;La Reina;SIN CONVENIO;UNI
343;4 Poniente 630;4 PONIENTE;V - Valparaiso;0;ESVAL S.A.;Abierto;Viña Del Mar;SIN CONVENIO;UNI
344;Estado 43;CURICO ALAMEDA;VII - Maule;4530;NUEVOSUR S.A.;Abierto;Curicó;SIN CONVENIO;UNI
345;Av. Collin 866;CHILLAN;XVI - Ñuble;0;ESSBIO S.A.;Abierto;Chillán;SIN CONVENIO;UNI
346;Fco Salazar 01650;TEMUCO;IX - Araucanía;0;AGUAS ARAUCANIA S A;Cerrado;Temuco;SIN CONVENIO;UNI
347;Av. Silva Carvallo 1414;SILVA CARVALLO;RM - Santiago;0;SMAPA;Abierto;Maipú;SIN CONVENIO;UNI
352;Obispo Orrego 1250;VILLA OLIMPICA;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Ñuñoa;SIN CONVENIO;UNI
353;Salomon Sack351Indep;JUAN ANTONIO RIOS;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Independencia;SIN CONVENIO;UNI
354;Av. Santa Rosa 8002;SANTA ROSA;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;La Granja;SIN CONVENIO;UNI
355;Manuel Montt 1097;MANUEL MONTT;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Providencia;SIN CONVENIO;UNI
357;Grecia 320;GRECIA;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Ñuñoa;SIN CONVENIO;UNI
360;Av. Pajaritos 1529;RAMON FREIRE;RM - Santiago;0;SMAPA;Cerrado;Maipú;SIN CONVENIO;UNI
362;Vitacura 8400;LAS TRANQUERAS;RM - Santiago;0;AGUAS CORDILLERA S.A.;Abierto;Vitacura;SIN CONVENIO;UNI
365;Arturo Prat 54;PANGUIPULLI II;XIV - Los Ríos;0;AGUAS DECIMA S A;Cerrado;Panguipulli;SIN CONVENIO;UNI
366;Geronimo De Alderete  697;VILLARRICA;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Villarrica;SIN CONVENIO;UNI
368;Anibal Pinto 540;PICHILEMU;VI - O'Higgins;0;ESSBIO S.A.;Cerrado;Pichilemu;SIN CONVENIO;UNI
370;Matta 575;SAN CARLOS;XVI - Ñuble;0;ESSBIO S.A.;Cerrado;San Carlos;SIN CONVENIO;UNI
371;Pedro Aguirre Cerda 430;ANGOL II;IX - Araucanía;0;AGUAS ARAUCANIA S A;Cerrado;Angol;SIN CONVENIO;UNI
372;Lautaro 551;ANGOL III;IX - Araucanía;0;AGUAS ARAUCANIA S A;Cerrado;Angol;SIN CONVENIO;UNI
373;21 De Mayo 1400;VICTORIA II;IX - Araucanía;0;AGUAS ARAUCANIA S A;Cerrado;Victoria;SIN CONVENIO;UNI
374;San Martin 560;NACIMIENTO;VIII - Biobío;0;ESSBIO S.A.;Abierto;Nacimiento;SIN CONVENIO;UNI
375;Arauco 697;ARAUCO;XIV - Los Ríos;3420;AGUAS DECIMA S A;Abierto;Valdivia;CONVENIO;UNI
376;Bombero Classing 204;LAS ANIMAS;XIV - Los Ríos;0;AGUAS DECIMA S A;Abierto;Valdivia;SIN CONVENIO;UNI
377;Picarte 2593;PICARTE;XIV - Los Ríos;0;AGUAS DECIMA S A;Cerrado;Valdivia;SIN CONVENIO;UNI
390;;MONTSERRAT PUENTE ALTO;RM - Santiago;0;AGUAS ANDINAS S.A.;Proyecto;;SIN CONVENIO;UNI
392;"Av. O"" Higgins 1689";CURACAVI II;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Curacaví;SIN CONVENIO;UNI
393;Guanaco 4480;GUANACO;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Conchalí;SIN CONVENIO;UNI
394;Zapadores 1320;ZAPADORES;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Conchalí;SIN CONVENIO;UNI
395;Av. Las Parcelas 9001;LAS PARCELAS;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Peñalolén;SIN CONVENIO;UNI
396;Estrella De Chile 169;QUINTERO;V - Valparaiso;0;ESVAL S.A.;Abierto;Quintero;SIN CONVENIO;UNI
398;Vial 224;CONSTITUCIÓN I;VII - Maule;0;NUEVOSUR S.A.;Abierto;Constitución;SIN CONVENIO;UNI
400;Av. Peru 735, Local 12;AV. PERÚ;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Recoleta;SIN CONVENIO;UNI
402;Avenida 5 Norte N°3615;TALCA 5 NORTE;VII - Maule;0;NUEVOSUR S.A.;Abierto;Talca;SIN CONVENIO;UNI
404;Av. Monjitas Oriente 2706;CIRCUNVALACIÓN;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;La Serena;SIN CONVENIO;UNI
405;AV. Francia 1701 Local 1, Osorno;OSORNO FRANCIA;X - Los Lagos;0;SURALIS;Abierto;Osorno;SIN CONVENIO;UNI
408;Ruta 66, Esquina Casas de la Boca s/n;UNIMARC SANTO DOMINGO II;V - Valparaiso;0;COOPAGUA;Abierto;Santo Domingo;SIN CONVENIO;UNI
413;Padre Nelson Aguilar N 480, Local 1, Localidad Los Muermos;LOS MUERMOS;X - Los Lagos;0;SURALIS;Abierto;Puerto Montt;SIN CONVENIO;UNI
441;Carrera  1500;AYSEN;XI - Aysén;0;AGUAS PATAGONIA;Abierto;Aysén;SIN CONVENIO;UNI
442;Lautaro 331;COYHAIQUE;XI - Aysén;1320;AGUAS PATAGONIA;Abierto;Coyhaique;SIN CONVENIO;UNI
445;Av. Valparaiso 1982;VILLA ALEMANA;V - Valparaiso;0;ESVAL S.A.;Abierto;Villa Alemana;SIN CONVENIO;UNI
457;Lautaro Navarro 1293;LAUTARO NAVARRO AUSTRAL;XII - Magallanes;0;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
458;Av. España 01375;ESPAÑA AUSTRAL;XII - Magallanes;1306;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
459;Salvador Allende 0399;ALLENDE AUSTRAL;XII - Magallanes;3735;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
460;Calle Chiloe 855;CHILOE AUSTRAL;XII - Magallanes;0;AGUAS MAGALLANES S.A.;Cerrado;Punta Arenas;SIN CONVENIO;UNI
461;Capitan Guillermo 05;ZENTENO AUSTRAL;XII - Magallanes;3736;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
462;AV.FREI  770;COFRIMA;XII - Magallanes;0;AGUAS MAGALLANES S.A.;Proyecto;Punta Arenas;SIN CONVENIO;UNI
463;Gobernador Bories 647;BORIES AUSTRAL;XII - Magallanes;3739;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
464;Pedro Aguirre Cerda 0413;AGUIRRE CERDA AUSTRAL;XII - Magallanes;0;AGUAS MAGALLANES S.A.;Abierto;Punta Arenas;SIN CONVENIO;UNI
465;Bulnes 742;PUERTO NATALES;XII - Magallanes;1133;AGUAS MAGALLANES S.A.;Abierto;Puerto Natales;SIN CONVENIO;UNI
466;San Martin 147;QUILLOTA III;V - Valparaiso;0;ESVAL S.A.;Abierto;Quillota;SIN CONVENIO;UNI
468;Av. Brasil 1479;VALPARAISO;V - Valparaiso;0;ESVAL S.A.;Cerrado;Valparaíso;SIN CONVENIO;UNI
469;Manquehue Norte 457;LOS MILITARES;RM - Santiago;0;AGUAS CORDILLERA S.A.;Abierto;Las Condes;SIN CONVENIO;UNI
471;Carlos Richter 201;FRUTILLAR;X - Los Lagos;0;SURALIS;Cerrado;Frutillar;SIN CONVENIO;UNI
472;Batallon Atacama 319;CALDERA I;III - Atacama;0;NUEVA ATACAMA;Abierto;Caldera;CONVENIO;UNI
473;Cousiño 187;CALDERA II;III - Atacama;0;NUEVA ATACAMA;Cerrado;Caldera;SIN CONVENIO;UNI
474;5 De Abril 754;CHILLAN II;XVI - Ñuble;0;ESSBIO S.A.;Abierto;Chillán;SIN CONVENIO;UNI
475;Estado 85;ESTADO;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Santiago;SIN CONVENIO;UNI
476;Bilbao 2050;FRANCISCO BILBAO;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Providencia;SIN CONVENIO;UNI
477;Obispo Valdes 1170;CURAUMA;V - Valparaiso;2721;ESVAL S.A.;Abierto;Valparaíso;SIN CONVENIO;UNI
478;Av. Las Brisas 11;LAS BRISAS SANTO DOMINGO;V - Valparaiso;0;ESVAL S.A.;Cerrado;Santo Domingo;SIN CONVENIO;UNI
481;Av. Dorsal 3100;DORSAL;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Conchalí;SIN CONVENIO;UNI
482;Av. Jorge Guerra 16190;ABRAZO DE MAIPU;RM - Santiago;0;SMAPA;Abierto;Maipú;SIN CONVENIO;UNI
483;Av. El Golf 06;SANTO DOMINGO;V - Valparaiso;0;ESVAL S.A.;Abierto;Santo Domingo;SIN CONVENIO;UNI
484;Inmaculada Concepción 301, Llo lleo;LLO LLEO;V - Valparaiso;0;ESVAL S.A.;Cerrado;San Antonio;SIN CONVENIO;UNI
485;Jose Narcizo Aguirre 017;EL QUISCO;V - Valparaiso;0;ESVAL S.A.;Abierto;El Quisco;SIN CONVENIO;UNI
486;Av. El Canal 19591;CIUDAD DE LOS VALLES;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Pudahuel;SIN CONVENIO;UNI
510;Av. Camilo Henriquez 445;CAMILO HENRIQUEZ I;VII - Maule;0;NUEVOSUR S.A.;Abierto;Curicó;SIN CONVENIO;UNI
511;Av. Camilo Henriquez 655;CAMILO HENRIQUEZ II;VII - Maule;0;NUEVOSUR S.A.;Abierto;Curicó;SIN CONVENIO;UNI
512;Luis Cruz Martinez 1314;MOLINA I;VII - Maule;0;NUEVOSUR S.A.;Abierto;Molina;SIN CONVENIO;UNI
513;Av. Comalle 50;TENO;VII - Maule;0;NUEVOSUR S.A.;Abierto;Teno;SIN CONVENIO;UNI
515;Catedral 215;CAUQUENES;VII - Maule;0;NUEVOSUR S.A.;Abierto;Cauquenes;SIN CONVENIO;UNI
516;Oñederra 691;CONSTITUCION II;VII - Maule;0;NUEVOSUR S.A.;Cerrado;Constitución;SIN CONVENIO;UNI
517;Arturo Prat 733;CURICO TERMINAL;VII - Maule;0;NUEVOSUR S.A.;Abierto;Curicó;SIN CONVENIO;UNI
518;Balmaceda Nº389 ;LONCOCHE;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Loncoche;SIN CONVENIO;UNI
519;Santa Cruz 1170;TRAIGUEN;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Traiguén;CONVENIO;UNI
520;Av. España 414;AV. ESPAÑA;VII - Maule;0;NUEVOSUR S.A.;Abierto;Curicó;SIN CONVENIO;UNI
521;Cruz 233;COLLIPULLI;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Collipulli;SIN CONVENIO;UNI
522;Libertad 299;LANCO;XIV - Los Ríos;0;AGUAS DECIMA S A;Cerrado;Lanco;SIN CONVENIO;UNI
523;Jose Puchi 1100;SAN JOSE;XIV - Los Ríos;0;SURALIS;Cerrado;Mariquina;SIN CONVENIO;UNI
524;Av. Colon 890;AV. COLON;VII - Maule;0;NUEVOSUR S.A.;Cerrado;Curicó;SIN CONVENIO;UNI
525;"O""Higgins 630";LAUTARO;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Lautaro;SIN CONVENIO;UNI
526;Bilbao 472 ;PITRUFQUEN;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Pitrufquen;SIN CONVENIO;UNI
527;Ramon Sanfurgo 66;SANTA CRUZ;VI - O'Higgins;0;ESSBIO S.A.;Cerrado;Santa Cruz;SIN CONVENIO;UNI
528;Quechereguas 1916;MOLINA EXPRESS;VII - Maule;0;NUEVOSUR S.A.;Cerrado;Molina;SIN CONVENIO;UNI
529;Arturo Prat 246;NUEVA IMPERIAL;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Nueva Imperial;SIN CONVENIO;UNI
530;Pedro De Valdivia 46;CARAHUE;IX - Araucanía;0;AGUAS ARAUCANIA S A;Cerrado;Carahue;SIN CONVENIO;UNI
531;Anibal Pinto 777;MULCHEN;VIII - Biobío;0;ESSBIO S.A.;Abierto;Mulchen;SIN CONVENIO;UNI
532;"O""Higgins 515";CURACAUTIN;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Curacautin;CONVENIO;UNI
534;Comercio 657;RIO BUENO;XIV - Los Ríos;0;AGUAS DECIMA S A;Cerrado;Rio Bueno;SIN CONVENIO;UNI
535;Doctor Salinas 115;RANCAGUA;VI - O'Higgins;0;ESSBIO S.A.;Abierto;Rancagua;SIN CONVENIO;UNI
536;Av. Luis Cruz Martinez 2016;MOLINA II;VII - Maule;0;NUEVOSUR S.A.;Abierto;Molina;SIN CONVENIO;UNI
537;Pisagua 1354;VICTORIA I;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Victoria;CONVENIO;UNI
538;Jose Miguel Carrera 325;LAS CABRAS;VI - O'Higgins;0;ESSBIO S.A.;Abierto;Las Cabras;SIN CONVENIO;UNI
540;Pedro De Valdivia 266;PANGUIPULLI I;XIV - Los Ríos;0;AGUAS DECIMA S A;Cerrado;Panguipulli;SIN CONVENIO;UNI
